subj,mat_ed,mat_ed_yrs,gender
01,more_than_bachelors,18,F
02,more_than_bachelors,18,M
03,bachelors,16,M
04,less_than_bachelors,13,M
06,more_than_bachelors,18,F
07,more_than_bachelors,18,M
08,more_than_bachelors,18,F
09,bachelors,16,M
10,more_than_bachelors,21,F
11,more_than_bachelors,18,M
12,less_than_bachelors,14,M
13,more_than_bachelors,21,M
14,bachelors,16,F
15,bachelors,16,M
16,more_than_bachelors,18,M
17,more_than_bachelors,18,F
18,less_than_bachelors,14,M
19,bachelors,16,F
20,less_than_bachelors,14,F
21,more_than_bachelors,18,M
22,bachelors,16,F
23,less_than_bachelors,14,M
25,bachelors,16,M
26,less_than_bachelors,14,F
27,more_than_bachelors,21,M
28,more_than_bachelors,18,F
29,bachelors,16,F
30,more_than_bachelors,18,M
31,more_than_bachelors,18,F
32,more_than_bachelors,18,F
33,more_than_bachelors,18,M
34,less_than_bachelors,14,M
35,less_than_bachelors,13,F
36,more_than_bachelors,18,F
37,bachelors,16,M
38,more_than_bachelors,21,F
39,less_than_bachelors,13,F
40,more_than_bachelors,18,M
41,more_than_bachelors,18,M
42,more_than_bachelors,18,F
43,less_than_bachelors,12,F
44,less_than_bachelors,14,F
45,bachelors,16,M
46,bachelors,16,M
