subj,asq_Communication_sf3,psmt_AgeCorrectedScore,mefs_StandardScore,asq_Communication_sf5,wppsi4_bd_ss,wppsi4_mr_ss,pvt_AgeCorrectedScore_sf5,bus_info_standard,bus_len_standard,bus_com
01,60,106,95.5,60,13,13,128,121,114,1
02,55,87,106,55,11,9,95,60,NA,NA
03,45,60,109,55,15,14,106,129,108,0
04,50,97,91,NA,NA,NA,NA,NA,NA,NA
06,50,124,128.5,60,10,9,109,121,100,0
07,60,NA,88,60,9,3,117,100,108,1
08,60,87,109,60,13,10,117,84,114,1
09,60,NA,NA,NA,7,1,117,NA,NA,NA
10,60,60,107.5,60,12,6,54,103,114,2
11,60,78,107.5,NA,11,12,95,117,114,1
12,55,NA,109,60,12,12,109,106,100,1
13,45,97,94,50,9,13,97,115,112,3
14,45,97,107.5,45,13,12,128,135,108,2
15,NA,NA,NA,NA,5,7,97,112,93,0
16,55,106,88,60,16,12,106,123,120,1
17,60,106,109,60,13,13,128,NA,NA,NA
18,60,124,86.5,60,13,10,95,127,102,3
19,55,151,109,60,14,17,117,NA,NA,NA
20,50,106,95.5,55,11,9,95,63,NA,NA
21,60,69,85,NA,NA,NA,NA,NA,NA,NA
22,55,151,107.5,60,9,12,106,126,126,1
23,45,NA,101.5,NA,17,13,106,93,96,0
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,50,97,104.5,NA,NA,NA,NA,NA,NA,NA
27,60,97,103,55,13,6,117,97,108,0
28,60,133,115,60,10,8,117,123,108,1
29,55,133,109,60,18,12,128,100,90,1
30,55,151,101.5,55,17,16,117,126,120,4
31,60,97,106,40,16,13,117,NA,60,NA
32,40,NA,109,60,7,7,84,NA,NA,NA
33,55,NA,103,60,8,6,128,130,120,5
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,60,151,95.5,60,12,10,106,117,108,0
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,45,NA,80.5,45,8,8,106,98,120,3
38,60,NA,107.5,60,12,12,117,117,102,1
39,50,NA,94,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,60,12,11,106,127,120,4
41,45,106,107.5,55,12,12,117,104,114,2
42,45,87,107.5,55,8,10,95,106,108,1
43,45,87,100,45,10,15,106,111,102,2
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,30,10,11,106,109,108,2
46,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
